Name	Baccalaureate Institution	Field of Study	Current Institution
Abell, Jared	California Inst of Technology	Chemistry	
Abraham, Leonard G	Cornell U/NY	Engineering - Electrical and Electronic	
Adams, Phillip A	U of California-Berkeley	Life Sciences - Biology	
Allen, Clarence R	Reed College/OR	Chemistry	
Allen, Robert H	U of Connecticut-Storrs	Physics and Astronomy	
Allenson, Douglas R	Oberlin College/OH	Chemistry - Physical	
Anderson, Charles D	N/A	Chemistry - Organic	
Anderson, Sydney	U of Kansas	Life Sciences - Zoology	
Andrews, Charles F	U of California-Berkeley	Chemistry - Physical	
Arends, Charles B	N/A	Chemistry - Physical	
Armitage, Kenneth B	Bethany College/WV	Life Sciences - Zoology	
Arnold, William H	Cornell U/NY	Physics and Astronomy	
Aronov, Saul	Cooper Union/NY	Engineering - Electrical and Electronic	
Aronson, Seymour	Yeshiva U/NY	Chemistry - Physical	
Aspinwall, Dennis M	N/A	Engineering - Civil	
Auerbach, Robert	Berea College/KY	Life Sciences - Zoology	
Aumann, Robert J	CUNY-City College	Mathematical Sciences	
Auster, Simon L	N/A	Life Sciences - Biophysics	
Baily, Walter L	N/A	Mathematical Sciences	
Baker, Donald R	California Inst of Technology	Geosciences - Geology	
Baskir, Emanuel	Columbia U/NY	Physics and Astronomy	
Bass, Robert W	Johns Hopkins U/MD	Mathematical Sciences	
Bastian, James W	Purdue U/IN	Life Sciences - Zoology	
Bate, George L	Princeton U/NJ	Geosciences - Geology	
Battley, Edwin H	Harvard U/MA	Life Sciences - Biology	
Beam, Barbara B	Baker U/KS	Life Sciences - Microbiology	
Beck, Anatole	CUNY-Brooklyn College	Mathematical Sciences	
Becker, Edwin D	N/A	Chemistry - Physical	
Becker, Robert L	U of Missouri-Rolla	Physics and Astronomy - Nuclear	
Beerbower, James R	U of Colorado	Geosciences - Geology	
Belshe, John C	Iowa State U	Geosciences - Geology	
Bennett, Dorothea	Columbia U/NY	Life Sciences - Zoology	
Berdick, Murray	George Washington U/DC	Chemistry	
Berkowitz, Lewis M	N/A	Chemistry - Organic	
Berkowitz, Joseph	New York U	Engineering - Chemical	
Berkowitz, Joan B	N/A	Chemistry - Inorganic	
Berlincourt, Ted G	Case Western Reserve U/OH	Physics and Astronomy	
Bernard, Richard L	Ohio State U	N/A	
Biggs, Robert D	Rice U/TX	Engineering - Chemical	
Bingham, Harry H	N/A	Physics and Astronomy	
Birkmeier, Robert L	N/A	Chemistry - Physical	
Bond, Richard R	Salem-Teikyo U/WV	Life Sciences - Zoology	
Borecky, Gloria W	U of Pittsburgh/PA	Life Sciences - Ecology	
Bowbeer, Arthur C	US Merchant Marine Academy/NY	Chemistry - Analytical	
Bowen, Charles C	Michigan State U	Life Sciences - Biology	
Brace, William F	Massachusetts Inst of Technology	Geosciences - Geology	
Bradley, Sterling G	Southwest Missouri State U	Life Sciences - Biology	
Brooks, Norman H	Harvard U/MA	Engineering - Civil	
Brown, Arthur C	U of Chicago/IL	Physics and Astronomy	
Brown, John L	Williams College/MA	Physics and Astronomy	
Brown, Hugh N	U of Illinois-Urbana-Champaign	Physics and Astronomy	
Browne, Colin L	Lafayette College/PA	Chemistry	
Bryant, Donald L	U of California-Los Angeles	Geosciences - Geology	
Buck, Richard P	California Inst of Technology	Chemistry - Analytical	
Buettnerjanusch, John	U of Chicago/IL	N/A	
Burford, Thomas M	Washington U/MO	Engineering - Electrical and Electronic	
Burkhardt, James L	Massachusetts Inst of Technology	Physics and Astronomy	
Burnett, Bruce B	Lehigh U/PA	Chemistry	
Butzel, Henry M	Williams College/MA	Life Sciences - Zoology	
Callaway, Joseph	College of William & Mary/VA	Physics and Astronomy	
Calsoyas, Chris D	U of California-Berkeley	Physics and Astronomy	
Campbell, Allan M	U of California-Berkeley	Life Sciences - Microbiology	
Capel, Charles E	SUNY-Albany	Mathematical Sciences	
Carlson, John B	Saint Olaf College/MN	Life Sciences - Biology	
Carver, Thomas R	Harvard U/MA	Physics and Astronomy	
Case, Leslie C	N/A	Engineering - Chemical	
Cavin, William P	Wofford College/SC	Chemistry - Organic	
Century, Bernard	U of Chicago/IL	N/A	
Chalfin, David	U of Oklahoma	Life Sciences - Physiology	
Cheetham, Alan H	New Mexico Inst of Mining & Tech	Geosciences - Geology	
Chenoweth, Robert D	Texas A&M U	Engineering - Electrical and Electronic	
Christensen, Earl M	U of Utah	Life Sciences - Botany (including Plant Physiology)	
Clement, Robert A	Massachusetts Inst of Technology	Chemistry	
Clippinger, Everett	U of Chicago/IL	Chemistry	
Cloke, Paul L	Harvard U/MA	Geosciences - Geology	
Coe, Elmon L	Harvard U/MA	N/A	
Cohen, Michael	Cornell U/NY	Physics and Astronomy	
Cohen, Carolyn	Bryn Mawr College/PA	Life Sciences - Biophysics	
Cohn, Naomi K	N/A	Life Sciences - Microbiology	
Cohn, Charles E	U of Chicago/IL	Physics and Astronomy	
Cohn, Victor H	N/A	Life Sciences - Biology	
Coleman, James S	Washington State U	Chemistry - Physical	
Collinson, James A	Oberlin College/OH	Physics and Astronomy	
Connor, Robert L	Washington U/MO	Life Sciences - Zoology	
Cooley, William E	Central Methodist College/MO	Chemistry - Inorganic	
Coram, Beverly N	N/A	Life Sciences - Biology	
Cox, Arthur N	California Inst of Technology	Physics and Astronomy - Astronomy	
Craddock, John C	DePauw U/IN	Geosciences - Geology	
Cronin, James W	Southern Methodist U/TX	Physics and Astronomy	
Crowell, Richard H	Harvard U/MA	Mathematical Sciences	
Cruickshank, Philip A	U of Washington	Chemistry - Organic	
Curl, Rane L	Massachusetts Inst of Technology	Engineering - Chemical	
Curnutte, Basil J	United States Military Academy/NY	Physics and Astronomy	
Currie, Lloyd A	N/A	Chemistry - Physical	
Curtis, Sadie G	N/A	Chemistry - Organic	
Cutkosky, Richard E	Carnegie Mellon U/PA	Physics and Astronomy	
Dalton, John C	U of Virginia-Charlottesville	Life Sciences - Biology	
Danford, Masil B	U of Texas-Austin	Mathematical Sciences - Probability and Statistics	
Darnell, William H	VA Polytech Inst & State U	Engineering - Chemical	
Darrow, Robert A	N/A	Life Sciences - Biology	
Dasmann, Raymond F	U of California-Berkeley	Life Sciences - Zoology	
Davis, Darrell L	Oregon State U	Life Sciences - Physiology	
Davison, John A	U of Wisconsin-Madison	Life Sciences - Zoology	
Davison, Walter F	California Inst of Technology	Physics and Astronomy - Theoretical Physics	
Day, Willard F	U of Virginia-Charlottesville	Psychology	
Defremery, Donald	U of California-Berkeley	N/A	
Demerec, Vera R	Swarthmore College/PA	Life Sciences - Zoology	
Denney, Donald J	U of Pennsylvania	Chemistry	
Deser, Stanley	CUNY-Brooklyn College	Physics and Astronomy	
Dittmer, Donald C	U of Illinois-Urbana-Champaign	Chemistry	
Dixon, Harvey L	N/A	Engineering - Industrial	
Dobrow, Sherry P	N/A	Chemistry - Organic	
Doggett, Wesley O	U of North Carolina-Chapel Hill	Physics and Astronomy	
Donoho, Paul L	N/A	Physics and Astronomy	
Dove, Richard C	Iowa State U	Engineering - Mechanical	
Dowell, Arthur M	Samford U/AL	Chemistry	
Dumke, William P	U of Chicago/IL	Physics and Astronomy	
Dunham, Robert J	U of Oklahoma	Geosciences - Geology	
Eggen, Douglas A	U of Chicago/IL	Life Sciences - Biophysics	
Elspas, Bernard	CUNY-City College	Engineering - Electrical and Electronic	
Emmert, Richard E	U of Iowa	Engineering - Chemical	
Engel, Alexander	N/A	Physics and Astronomy	
English, Thomas S	Iowa State U	Life Sciences - Zoology	
Epstein, Samuel	N/A	Chemistry	
Ernstene, Marshall P	N/A	Physics and Astronomy	
Etter, Daniel O	Texas Christian U	Mathematical Sciences	
Eveleth, Phyllis A	N/A	Life Sciences - Biophysics	
Fairbanks, Frank B	N/A	Engineering - Mechanical	
Fein, Alvin E	N/A	Physics and Astronomy	
Feiner, Frank	Princeton U/NJ	Physics and Astronomy	
Feldman, Jacob	U of Pennsylvania	Mathematical Sciences	
Feldman, Allan M	U of Chicago/IL	Chemistry - Organic	
Felsenfeld, Gary	Harvard U/MA	Chemistry - Physical	
Finger, Irving I	Swarthmore College/PA	Life Sciences - Biology	
Finkel, Leonard	N/A	Engineering - Electrical and Electronic	
Finkelstein, Manuel	U of Scranton/PA	Chemistry - Organic	
Firor, John W	Georgia Institute of Tech	Physics and Astronomy	
Fisher, Allan L	U of Iowa	N/A	
Fishman, Frank J	N/A	Physics and Astronomy	
Fleck, Raymond A	U of Notre Dame/IN	Chemistry - Organic	
Foley, Jean M	Radcliffe College/MA	Life Sciences - Biology	
Ford, George W	U of Michigan	Physics and Astronomy	
Forrester, Herbert A	California Inst of Technology	Mathematical Sciences	
Fort, Arthur W	U of Chicago/IL	Chemistry - Organic	
Foster, Harold M	Lehigh U/PA	Chemistry - Organic	
Fraleigh, John B	N/A	Mathematical Sciences	
Frank, William M	Yeshiva U/NY	Physics and Astronomy - Nuclear	
Franklin, Richard M	Tufts U/MA	Life Sciences - Biophysics	
French, Edwin R	Bowdoin College/ME	N/A	
Fuller, Glenn	Stanford U/CA	Chemistry	
Furth, Harold P	Harvard U/MA	Physics and Astronomy	
Gall, Walter G	Carnegie Mellon U/PA	Chemistry	
Galonsky, Aaron I	CUNY-Brooklyn College	Physics and Astronomy	
Garber, Hirsh N	N/A	Engineering - Electrical and Electronic	
Garrett, Bowman S	Louisiana State U & A&M College	Chemistry - Physical	
Gasser, Robert J	U of Detroit-Mercy/MI	Chemistry - Organic	
Gavis, Jerome	Polytechnic U/NY	Chemistry	
Gay, John H	Cornell U/NY	Mathematical Sciences	
Gealy, Betty L	Southern Methodist U/TX	Geosciences - Geology	
Gelernter, Herbert	CUNY-Brooklyn College	Physics and Astronomy - Nuclear	
Gere, James M	Rensselaer Polytechnic Inst/NY	Engineering - Mechanical	
Ghirardelli, Robert G	N/A	Chemistry - Organic	
Gibbs, Robert H	Cornell U/NY	Life Sciences - Zoology	
Gioumousis, George	Polytechnic U/NY	Chemistry - Organic	
Godfrey, Thomas N	Massachusetts Inst of Technology	Physics and Astronomy	
Godfrey, John C	Pomona College/CA	Chemistry - Organic	
Goebel, Charles J	U of Chicago/IL	Physics and Astronomy	
Gold, Allen M	U of Chicago/IL	Chemistry - Organic	
Goldman, Alan J	N/A	Mathematical Sciences	
Goldman, Peter	N/A	Life Sciences - Biology	
Goldschmidt, Eric N	CUNY-Brooklyn College	Chemistry - Organic	
Goldstein, Lester	CUNY-Brooklyn College	Life Sciences - Zoology	
Gorton, Charles W	Louisiana Tech U	Engineering - Mechanical	
Gould, Roy W	California Inst of Technology	Physics and Astronomy	
Grabowski, Casimer T	Case Western Reserve U/OH	Life Sciences - Biology	
Grace, Edward E	U of North Carolina-Chapel Hill	Mathematical Sciences	
Gram, Andrew L	N/A	N/A	
Granger, Harry C	U of Oregon	Geosciences - Geology	
Gray, Jane	Radcliffe College/MA	Geosciences - Geology	
Gray, Margery P	U of Oregon	N/A	
Greenberg, Oscar W	N/A	Physics and Astronomy	
Greenberg, Harry	N/A	Engineering - Aeronautical and Aerospace	
Greene, Charles M	N/A	Mathematical Sciences	
Gregory, Clarence L	Massachusetts Inst of Technology	Engineering - Chemical	
Griffith, H C	U of Missouri-Columbia	Mathematical Sciences	
Grimm, Phyllis W	N/A	Life Sciences - Botany (including Plant Physiology)	
Griswold, Thomas W	U of California-Berkeley	Physics and Astronomy	
Groesbeck, Marjorie E	N/A	Life Sciences - Botany (including Plant Physiology)	
Gross, Eston M	U of Minnesota-Twin Cities	Chemistry - Organic	
Gross, Leonard	N/A	Physics and Astronomy	
Hadley, Wayne B	Ohio State U	Chemistry	
Hall, Herbert E	U of Kentucky	Life Sciences - Biology	
Hallman, Theodore M	U of Washington	Engineering - Mechanical	
Hamilton, Walter C	Oklahoma State U	Chemistry - Physical	
Hampton, John W	U of California-Berkeley	Chemistry - Organic	
Handschumacher, Robert	Drexel U/PA	N/A	
Hanson, Earl D	Bowdoin College/ME	Life Sciences - Genetics	
Harbourt, Cyrus D	N/A	Engineering	
Hardy, Wilton A	Muhlenberg College/PA	Physics and Astronomy	
Haritatos, Nicholas J	N/A	Engineering - Chemical	
Harlow, Francis H	U of Washington	Physics and Astronomy	
Harris, Frank E	Harvard U/MA	Chemistry	
Hartz, Billy J	N/A	Engineering - Civil	
Hasek, William R	Carnegie Mellon U/PA	Chemistry - Organic	
Hayward, James C	U of Kansas	Engineering - Chemical	
Heald, Mark A	Oberlin College/OH	Physics and Astronomy	
Hecht, Charles E	N/A	Chemistry	
Helfer, Herman L	U of Chicago/IL	Physics and Astronomy - Astronomy	
Helm, Richard H	Stanford U/CA	Physics and Astronomy	
Hendley, Daniel D	Columbia U/NY	N/A	
Hendrick, Roy W	Stanford U/CA	Physics and Astronomy	
Herz, Carl S	Cornell U/NY	Mathematical Sciences	
Herzenberg, Leonard A	N/A	Life Sciences - Biology	
Hess, Robert L	U of California-Berkeley	Engineering - Electrical and Electronic	
Hickmott, Thomas W	Yale University/CT	Chemistry - Physical	
Hilibrand, Jack	CUNY-City College	Engineering - Electrical and Electronic	
Hill, John R	Abilene Christian U/TX	Life Sciences - Physiology	
Hill, David A	Princeton U/NJ	Physics and Astronomy	
Hill, Robert B	N/A	Life Sciences - Biology	
Hill, Jacques A	Massachusetts Inst of Technology	Engineering - Aeronautical and Aerospace	
Hiller, Edwin R	Washington U/MO	Engineering - Electrical and Electronic	
Hoekstra, William G	Colorado State U	N/A	
Hoffmann, Anne	N/A	Life Sciences - Microbiology	
Hoffmann, Robert S	Utah State U	Life Sciences - Zoology	
Holcomb, Donald F	DePauw U/IN	Physics and Astronomy	
Holladay, Wendell	Vanderbilt U/TN	Physics and Astronomy	
Holloway, Joseph H	College of Wooster/OH	Physics and Astronomy	
Holly, Earl D	U of Michigan	Chemistry - Organic	
Holum, John R	Saint Olaf College/MN	Chemistry - Organic	
Honea, Russell M	N/A	Geosciences - Geology	
Honigsberg, Charles A	N/A	Engineering - Mechanical	
Hooke, William M	N/A	Physics and Astronomy	
Horelick, Brindell	N/A	Mathematical Sciences	
Horowicz, Paul	New York U	Life Sciences - Biophysics	
Horowitz, Jack	N/A	N/A	
Horowitz, Lawrence P	N/A	Physics and Astronomy	
Horwitz, Nahmin	Case Western Reserve U/OH	Physics and Astronomy	
Howard, Louis N	Swarthmore College/PA	Physics and Astronomy	
Howell, Francis C	U of Chicago/IL	N/A	
Hull, Joseph P	N/A	Geosciences - Geology	
Humphreys, Thomas E	Ohio State U	Life Sciences - Botany (including Plant Physiology)	
Hunt, William W	N/A	Chemistry - Physical	
Hurst, Vernon J	U of Georgia	Geosciences - Geology	
Ibers, James A	California Inst of Technology	Chemistry - Inorganic	
Irwin, Richard L	Johns Hopkins U/MD	Chemistry - Physical	
Jacob, Charles E	U of Utah	Geosciences - Geology	
Jaross, Robert W	N/A	Chemistry	
Johnson, Benjamin M	N/A	Engineering - Chemical	
Jolly, Eugene R	U of Wisconsin-Madison	N/A	
Jones, Robert E	N/A	Engineering - Civil	
Jones, Quentin	Washington State U	Life Sciences - Biology	
Juhle, Rolf W	Johns Hopkins U/MD	Geosciences - Geology	
Kahn, Arnold H	Rensselaer Polytechnic Inst/NY	Physics and Astronomy	
Kant, Fred H	Columbia U/NY	Engineering - Chemical	
Kasner, William H	Case Western Reserve U/OH	Physics and Astronomy	
Kaufman, Charles J	N/A	Mathematical Sciences - Algebra or Number Theory	
Kavanaugh, Ralph W	Reed College/OR	Physics and Astronomy	
Kelleher, Therese M	N/A	Life Sciences - Biology	
Kemp, Nelson H	Ohio State U	Engineering - Aeronautical and Aerospace	
Kendall, Robert M	N/A	Engineering - Chemical	
Ketcham, Roger G	Antioch U/OH	Chemistry - Physical	
Kice, John L	Harvard U/MA	Chemistry	
Klemperer, William A	Harvard U/MA	Chemistry	
Knight, Bruce W	N/A	Physics and Astronomy	
Koeppe, Owen J	Hope College/MI	N/A	
Kofron, James T	N/A	Chemistry - Organic	
Kohler, Donald A	U of Oregon	Physics and Astronomy	
Kohn, Robert R	U of Wisconsin-Madison	Life Sciences - Physiology	
Kohout, Patricia M	N/A	Chemistry - Physical	
Kopple, Kenneth D	Massachusetts Inst of Technology	Chemistry - Organic	
Kostant, Bertram	Purdue U/IN	Mathematical Sciences	
Kraintz, Leon	Harvard U/MA	Life Sciences - Physiology	
Kramer, Arnold G	N/A	Physics and Astronomy	
Kranzer, Herbert C	N/A	Mathematical Sciences	
Kraut, Joseph	Bucknell U/PA	Chemistry	
Krebs, Robert D	N/A	Life Sciences - Biology	
Krieger, Theodore J	CUNY-City College	Physics and Astronomy - Theoretical Physics	
Krone, Lester H	N/A	Engineering - Chemical	
Kuller, Robert G	Swarthmore College/PA	Mathematical Sciences	
Kulsrud, Russell M	U of Maryland-College Park	Physics and Astronomy	
Laberge, Wallace E	U of North Dakota	Life Sciences - Entomology	
Lacey, Richard F	N/A	Physics and Astronomy	
Laing, Charles C	U of Chicago/IL	Life Sciences - Botany (including Plant Physiology)	
Lakin, Wilbur	Union College/NY	Physics and Astronomy	
Lambert, Francis L	George Washington U/DC	Life Sciences - Biology	
Lands, William E	U of Michigan	N/A	
Lang, Lawrence G	N/A	Physics and Astronomy	
Lasalle, Michael W	Washington U/MO	Life Sciences - Physiology	
Lazaroff, Norman	Syracuse U/NY	Life Sciences - Biology	
Lazarus, John P	N/A	Physics and Astronomy	
Lednicer, Daniel	N/A	Chemistry - Organic	
Lehman, Russell S	Stanford U/CA	Mathematical Sciences	
Lemish, John	U of Michigan	Geosciences - Geology	
Leppert, George	U of Wisconsin-Madison	Engineering - Mechanical	
Lesnick, Marie	Mount Holyoke College/MA	Mathematical Sciences	
Lesure, Frank G	VA Polytech Inst & State U	Geosciences - Geology	
Levine, Samuel G	Tufts U/MA	Chemistry - Organic	
Levinson, Carl A	Swarthmore College/PA	Physics and Astronomy	
Levy, Milton	N/A	Physics and Astronomy	
Lewis, Robert R	U of Michigan	Physics and Astronomy	
Lewontin, Richard C	Harvard U/MA	Life Sciences - Zoology	
Lichtman, Leo	N/A	Engineering - Mechanical	
Limber, David N	Ohio State U	Physics and Astronomy - Astronomy	
Lindeberg, George K	N/A	Physics and Astronomy	
Linder, Solomon L	Rutgers State U-New Brunswick/NJ	Physics and Astronomy	
Lipps, Frederick W	Johns Hopkins U/MD	Physics and Astronomy	
Liss, Theodor A	N/A	Chemistry - Organic	
Lockhart, James A	Michigan State U	Life Sciences - Physiology	
Loewenberg, Jakob R	Harvard U/MA	Life Sciences - Botany (including Plant Physiology)	
Long, Miner B	Oberlin College/OH	Geosciences - Geology	
Lovejoy, Elwyn R	Boston U/MA	Chemistry	
Lubitz, Cecil R	United States Naval Academy/MD	Physics and Astronomy	
Ludlum, David B	Cornell U/NY	Chemistry - Physical	
Lundelius, Ernest L	U of Texas-Austin	Geosciences - Geology	
Lurie, Robert M	N/A	Engineering - Chemical	
Mackin, Robert J	Yale University/CT	Physics and Astronomy	
Magee, Wayne E	Kalamazoo College/MI	N/A	
Magee, Charles B	U of Detroit-Mercy/MI	Chemistry	
Mallett, Gordon E	Purdue U/IN	Life Sciences - Microbiology	
Marinetti, Guido V	U of Rochester/NY	N/A	
