Name	Baccalaureate Institution	Field of Study	Current Institution
Adler, Robert J	Lehigh U/PA	Engineering - Chemical	
Aitken, Donald W	N/A	Physics and Astronomy - Theoretical Physics	
Albersheim, Peter	Cornell U/NY	N/A	
Albright, Norman W	California Inst of Technology	Physics and Astronomy - Nuclear	
Alcalay, David	Columbia U/NY	Mathematical Sciences	
Alltop, William O	N/A	Mathematical Sciences	
Altieri, Barbara L	Wellesley College/MA	Psychology - Experimental or Comparative	
Ammann, Eugene O	U of Portland/OR	N/A	
Anderson, Louis W	Rice U/TX	Physics and Astronomy - Nuclear	
Anderson, Mary M	College of William & Mary/VA	Chemistry - Physical	
Anderson, Don L	Rensselaer Polytechnic Inst/NY	Geosciences - Geophysics	
Anderson, Charles H	California Inst of Technology	Physics and Astronomy	
Anderson, Roberta K	N/A	Life Sciences - Microbiology	
Anderson, Loran C	N/A	Life Sciences - Botany (including Plant Physiology)	
Anderson, Ansel C	Allegheny College/PA	Physics and Astronomy - Nuclear	
Appelbaum, Elizabeth B	N/A	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Bachmann, Roger W	U of Michigan	Life Sciences - Ecology	
Baker, Willie A	Unknown	Chemistry - Inorganic	
Baldwin, David E	N/A	Physics and Astronomy - Nuclear	
Bambakidis, Gust	N/A	Physics and Astronomy - Theoretical Physics	
Banks, Philip O	N/A	Geosciences	
Baraff, Gene A	Columbia U/NY	Physics and Astronomy - Theoretical Physics	
Barnert, Nyles N	N/A	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Baronowsky, Paul E	N/A	N/A	
Barth, Robert H	Princeton U/NJ	Life Sciences - Zoology	
Baum, Paul F	N/A	Mathematical Sciences	
Beam, John E	N/A	Physics and Astronomy	
Bechtel, Norbert G	N/A	N/A	
Belinfante, Johan G	N/A	Physics and Astronomy - Theoretical Physics	
Bell, Jerry A	N/A	Chemistry - Physical	
Benedict, Mary H	N/A	Chemistry	
Benice, Ronald J	N/A	Mathematical Sciences - Algebra or Number Theory	
Bergeson, Haven E	N/A	Physics and Astronomy - Nuclear	
Berlowitz, Laurence	U of California-Berkeley	Life Sciences - Zoology	
Bermon, Stuart	N/A	Physics and Astronomy - Solid State	
Bidwell, Leonard N	U of Pennsylvania	Mathematical Sciences	
Bills, James L	N/A	Chemistry - Organic	
Bingham, Christoph	N/A	Mathematical Sciences	
Birkeland, Peter W	N/A	Geosciences - Geology	
Blair, James E	N/A	Chemistry - Physical	
Bland, Richard P	U of Oklahoma	Mathematical Sciences - Probability and Statistics	
Bliss, James C	Northwestern U/IL	N/A	
Bloomquist, Carol	N/A	Chemistry	
Blumenthal, Saul	N/A	Engineering	
Bolger, Justin C	U of Notre Dame/IN	Engineering - Chemical	
Bond, Frederick T	N/A	Chemistry - Organic	
Booth, Mary L	N/A	Mathematical Sciences - Analysis	
Borgeson, David P	N/A	Life Sciences - Fish and Wildlife	
Boulware, David G	N/A	Physics and Astronomy - Theoretical Physics	
Bower, Gordon H	Case Western Reserve U/OH	Psychology - Experimental or Comparative	
Bradley, Neal E	N/A	Mathematical Sciences - Analysis	
Brandvold, Glen E	N/A	Engineering	
Brant, David A	N/A	Chemistry - Organic	
Bray, Richard C	Swarthmore College/PA	N/A	
Bresnahan, Timothy	Unknown	Life Sciences - Biology	
Brethower, Dale M	N/A	Psychology - Experimental or Comparative	
Brockman, Herman E	Blackburn College/IL	Life Sciences - Genetics	
Brosemer, Ronald W	U of California-Berkeley	N/A	
Brown, Robert L	N/A	Chemistry - Physical	
Brown, Marianne S	N/A	Mathematical Sciences	
Brown, Stephen L	N/A	Physics and Astronomy	
Brown, Robert T	N/A	Physics and Astronomy	
Brumer, Armand	N/A	Mathematical Sciences	
Bryan, Ruth E	Radcliffe College/MA	N/A	
Bryant, David R	N/A	Chemistry - Organic	
Buccino, Alphonse	N/A	Mathematical Sciences	
Buchanan, Charles D	Reed College/OR	Physics and Astronomy	
Buddemeier, Robert	N/A	Chemistry - Physical	
