Name	Baccalaureate Institution	Field of Study	Current Institution
Albertin, Uwe K	N/A	Physics and Astronomy - Particle Physics	
Allston, Richard A	U of Maryland-College Park	Chemistry - Analytical	
Altschul, Stephen F	Harvard U/MA	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Alvarez, Robert J	N/A	Engineering - Aeronautical and Aerospace	
Anderson, Richard J	Reed College/OR	N/A	
Anderson, Kenneth M	U of Pennsylvania	Psychology - Experimental or Comparative	
Anderson, Joyce E	N/A	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Andrew, Deborah J	U of Central Florida	Life Sciences - Genetics	
Anovitz, Lawrence M	U of Arizona	Geosciences	
Anstaett, Mark R	Ohio State U	Geography (Other than Physcal)	
Aparicio, Manuel Iv	U of South Florida	Psychology - Experimental or Comparative	
Appel, Andrew W	N/A	N/A	
Archer, Branch T	N/A	Physics and Astronomy - Particle Physics	
Aronovitz, Joseph A	N/A	Physics and Astronomy - Theoretical Physics	
Assmann, Sarah M	Williams College/MA	Life Sciences - Botany (including Plant Physiology)	
Aten, Nancy M	N/A	N/A	
Au, Karin G	N/A	Chemistry - Organic	
Aviles, Cathleen A	SUNY-College-Geneseo	Geosciences - Geophysics	
Axline, Susan P	Cornell U/NY	Life Sciences - Ecology	
Bachman, Elwood W	Reed College/OR	Psychology - Social	
Baertlein, Dawn M A	U of Arizona	Life Sciences - Biological Oceanography	
Bain, David E	U of California-Santa Cruz	Life Sciences - Zoology	
Baker, Mark C	N/A	Social Sciences - Linguistics	
Baldwin, Douglas L	Yale University/CT	N/A	
Baldwinzuschke, Brenda*	N/A	N/A	
Ball, Laurence M	Amherst College/MA	Social Sciences - Economics (Business Administration not eligible)	
Balshem, Martha L	Temple U/PA	N/A	
Bamford, Thomas A	N/A	Engineering - Materials	
Barabino, Gilda B	Xavier U of Louisiana	Engineering - Chemical	
Bargmann, Cornelia I	N/A	Life Sciences - Genetics	
Barney, Christine A	Cornell U/NY	N/A	
Barnum, Caron L	Fisk U/TN	Life Sciences - Physiology	
Baum, Timothy M	N/A	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Baumgardner, James R	Duke U/NC	Social Sciences - Economics (Business Administration not eligible)	
Beachy, Philip A	Goshen College/IN	Life Sciences - Genetics	
Beale, Ruby H	California State U-San Bernardino	Psychology - Social	
Beck, Mary L	N/A	Life Sciences - Molecular Biology	
Beckmandavies, Carol S	N/A	N/A	
Bell, John Payne	N/A	Chemistry - Organic	
Bender, Steven L	N/A	Chemistry - Organic	
Benfey, Philip Norman	N/A	Life Sciences - Molecular Biology	
Bergondy, Maureen L	San Diego State U/CA	Psychology - Experimental or Comparative	
Berk, David Alan	N/A	Engineering - Bioengineering and Biomedical	
Bernstein, Geoffrey P	N/A	Social Sciences - Political Science	
Berwanger, Patrick C	N/A	Chemistry - Physical	
Bjorkman, Thomas N	U of California-Davis	Life Sciences - Botany (including Plant Physiology)	
Blackmond, Donna G	U of Pittsburgh/PA	Engineering - Chemical	
Blackwell, Kim Lois Ti*	N/A	Engineering - Bioengineering and Biomedical	
Blake, Geoffrey A	N/A	Chemistry - Physical	
Blum, Jonathan H	N/A	N/A	
Bockman, Thomas M	U of Georgia	Chemistry - Organic	
Boebinger, Gregory Sco*	N/A	Physics and Astronomy - Solid State	
Bohr, James E	N/A	Chemistry - Physical	
Boles, Martin R	Dartmouth College/NH	Geosciences - Geology	
Bonser, Catherine A	N/A	Social Sciences - Economics (Business Administration not eligible)	
Bookheimer, Samuel T	Penn State U-University Park	Social Sciences - Political Science	
Booske, John H	Penn State U-University Park	Engineering - Nuclear	
Booth, Jacqueline A	U of Maryland-Baltimore County	Psychology - Developmental	
Booth, Carey L	N/A	Life Sciences - Ecology	
Boss, Roger D	Kent State U/OH	Chemistry - Analytical	
Bouyer, Rhonda H	Prairie View A&M U/TX	Engineering - Civil	
Boyce, James Kenneth	Yale University/CT	Social Sciences - Economics (Business Administration not eligible)	
Bramley, Randall B	N/A	Mathematical Sciences - Topology	
Braun, Suzanne E	California State U-Stanislaus	Life Sciences - Ecology	
Bray, Jonathan D	N/A	Engineering - Civil	
Briggs, Felicia H	N/A	Life Sciences - Genetics	
Brinn, Marshall S	N/A	N/A	
Brison, Karen J	N/A	N/A	
Brommer, Karl D	Cornell U/NY	Physics and Astronomy - Physics of Fluids	
Brooks, Kenneth P	U of Virginia-Charlottesville	N/A	
Broussard, Phillip R	N/A	Physics and Astronomy - Solid State	
Brown, Dia L	N/A	Social Sciences - History of Science	
Brown, Ward T	N/A	Chemistry - Physical	
Brown, Charles R	N/A	Life Sciences - Ecology	
Brunk, John C	U of Cincinnati/OH	Social Sciences - Urban and Regional Planning	
Buchanan, Neil H	N/A	Social Sciences - Economics (Business Administration not eligible)	
Buchanan, John S	Princeton U/NJ	Engineering - Chemical	
Byfield, Natalie P	N/A	Social Sciences - Political Science	
Cahill, Paul A	N/A	Chemistry - Organic	
Call, Michael L	N/A	Engineering - Chemical	
Camac, Mary K F	U of Delaware	Psychology - Experimental or Comparative	
Campbell, James D	Austin Peay State U/TN	Life Sciences - Entomology	
Capman, William Carl	N/A	Life Sciences - Ecology	
Carman, George J	Cornell U/NY	Life Sciences - Physiology	
Carson, Emmett D	Morehouse College/GA	Social Sciences - Economics (Business Administration not eligible)	
Casalnuovo, Albert L	Santa Clara U/CA	Chemistry - Inorganic	
Case, Elizabeth A	Oregon State U	Life Sciences - Physiology	
Cass, Wayne A	Colorado State U	Life Sciences - Anatomy	
Castro, Alejandro L	N/A	Chemistry - Organic	
Cervone, Daniel P	N/A	Psychology - Personality and Individual Differences	
Chambliss, David D	N/A	N/A	
Chandler, Margaret G	Wayne State U/MI	N/A	
Cheney, Richard E	Oregon State U	Life Sciences - Molecular Biology	
Chien, Chibin	N/A	N/A	
Clayton, David F	U of Georgia	Life Sciences - Molecular Biology	
Clinch, Anthony B	N/A	Engineering - Chemical	
Co, Eugene L	N/A	Chemistry - Organic	
Coats, Rebecca S	N/A	Engineering - Mechanical	
Coley, Raymond A	Princeton U/NJ	Mathematical Sciences - Topology	
Colvin, Tim R	N/A	Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi	
Conner, Jeffrey K	Harvard U/MA	Life Sciences - Zoology	
Connolly, Michael J	N/A	Engineering - Mechanical	
Connolly, Maureen A	SUNY-Albany	Chemistry - Physical	
Conzelman, Karen A	U of California-Davis	Life Sciences - Zoology	
Cooper, Eric C	Harvard U/MA	N/A	
Cotterman, Ronald L	N/A	Engineering - Chemical	
Cox, Vivian R	N/A	Social Sciences - Economics (Business Administration not eligible)	
Cresswell, Lisa A	Alma College/MI	Life Sciences - Physiology	
Cronmiller, Claire R	Bryn Mawr College/PA	Life Sciences - Biology	
Cruz, Rene L	U of Illinois-Urbana-Champaign	Engineering - Electrical and Electronic	
Curtis, Aaron T	N/A	Engineering - Electrical and Electronic	
Curtiss, Sandra Willia*	St Lawrence U/NY	Life Sciences - Molecular Biology	
Davenport, Janet M	N/A	N/A	
Deane, Paul D	U of North Carolina-Chapel Hill	Social Sciences - Linguistics	
Deaton, Joseph C	N/A	Chemistry - Inorganic	
Deeg, Mark A	N/A	N/A	
Della, Pietra Stephen	N/A	Physics and Astronomy - Theoretical Physics	
Depoy, Rosemarie E	Arizona State U	Chemistry - Inorganic	
Derby, Jeffrey J	N/A	Engineering - Chemical	
